,Abbreviation,Definition,URL,Info,TextBlob_Subjectivity,Vader_SentimentScore,no_of_abreviations
476,IEP,Incentive/Earned Privilege (level),,,0,0,0
477,IEPS,Incentives & Earned Privileges Scheme,,,0,0,0
478,IFS,Interim financial system,,,0,0,0
479,IICSA,Independent Inquiry into Child Sexual Abuse,,,0,0,0
480,IIP,Investors In People,,,0,0,0
483,ILP,Individual Learning Plan,,,0,0,0
484,IM,Interventions Manager,,Specifically related to NDelius,0.4,0,0
486,IMB,Independent Monitoring Board,,"Statutory bodies that monitor Prisons, the welfare of staff & prisoners, to ensure they are properly cared for whilst in custody and detention.",0.1,-0.1027,0
487,IMR,Inmate Medical record,,,0,0,0
488,IMS,Intelligence Management Service,,,0,0,0
489,IMSU,Incident Management Support Unit,,,0,0,0
490,INView,INView,,A system which supports the delivery of efficient and effective custodial services by providing cost and resource use information and reporting for services delivered in public sector prisons,0.433333333,0.8126,0
491,IOCCO,Interception of Communications Commissioner's Office,,,0,0,0
493,IOM,Integrated Offender Management,,,0,0,0
495,IPPF,Integrated Probation Performance framework,,,0,0,0
497,IPV,Intimate Partner Violence,,,0,0,0
499,IQR,Implementation Quality Report,,,0,0,0
500,IR,Intelligence Report,,"A method of reporting intelligence information to the Security department via the Mercury system (generally done electronically, but paper versions are available to those without computer access)",0.45,0.4118,0
501,IRaT,Incident Response and Tuning,,Live product support at MoJ Digital.,0.25,0.4019,0
503,IRS,Incident Reporting System,,A bolt on software to PNOMIS for recording incidents within Prisons and escorts.,0,0,0
505,IS91,A prisoner who has been detained under Immigration Act powers.,,,0,0,0
507,ISP,Indeterminate Sentence Prisoner,,"An offender who has not been given a release date. These offenders have to satisfy a parole board before they are considered for release, so they have an eligability date from which they can apply to the parole board, but they do not have a set date for release since a decision is made based on a number of factors such as behaviour in prison, engagement with victim awareness programmes etc",0.275,-0.4854,0
508,ISP,Initial Sentence Plan,,,0,0,0
510,ISS,Investigations Support Services,,"Based in Crown House, Corby",0,0,0
511,ISSS,Information and System Support Services,,,0,0,0
514,ITIL,"ITIL, formerly[1] an acronym for Information Technology Infrastructure Library, is a set of detailed practices for IT service management (ITSM) that focuses on aligning IT services with the needs of business.",,,0,0,0
515,ITN,Invitation to negotiate,,Confusing acronym - as more commonly used for Independent Television News.,0.38125,-0.2263,0
516,IWC,Intermittent Weekday Custody,,,0,0,0
518,JAC,Judicial Appointments Commission,,,0,0,0
519,JC,Justices' clerk,,"Legally-trained member of staff in a magistrates' court, who advises the mags (who are volunteers) on tricky questions about the law.",0,-0.1531,0
520,JCHR,Joint Committee on Human Rights,,,0,0,0
521,JES,Job Evaluation Scheme,,,0,0,0
523,JHA,Justice and Home Affairs,,One of the policy areas of the Council of the European Union,0,0,0
524,JIRPA,Joint Industrial Procedural Agreement,,,0,0,0
526,JR,Judicial Review,,Judicial review is a type of court proceeding in which a judge reviews the lawfulness of a decision or action made by a public body.,0.083333333,0,0
527,JS,JavaScript,,Computer code used predominantly in Web browsers to provide enhanced user interaction.,0,0,0
528,JS,Jury Summons,,,0,0,0
530,JSAS,Justice Statistics Analytical Services,,A unit within Ministry of Justice Analytical Services Directorate.,0,0.5267,0
531,JSC,Justice Select Committee,,,0,0,0
532,JSON,JavaScript Object Notation,,"A simple, lightweight data format.",0.357142857,0,0
536,KBA,Knowledge Base Article,,,0,0,0
537,KBD,Key Business Decisions,,,0,0,0
538,Key Traka,See: Traka,,,0,0,0
539,KI,Known Incident,,,0,0,0
541,KML,Keyhole Markup Language,,,0,0,0
542,KPI,Key Performance Indicator,,A type of performance measurement that evaluates the success of an organisation or of a particular activity.,0.166666667,0.5719,0
543,KPT,Key Performance Target,,A type of performance measurement that evaluates the success of an organisation or of a particular activity.,0.166666667,0.5719,0
545,KW,Key Worker,,,0,0,0
546,L&D,Learning & Development,,,0,0,0
547,LA,Legal Advisor,,,0,0,0
549,LAA,Local Area Agreements,,"Local Area Agreements (LAAs) set out the priorities for a local area, as agreed between central government, the Local Authority and Local Strategic Partnership, and other key partners.",0.232142857,0.5423,0
554,LBBs,"Locks, Bars & Bolts",,"Old school terminology used by Prison Officers many years ago. Now more commonly known as Daily Cell Searching, which should be undertaken to identify any hazards, weapons, contraband in a cell & also ensure all the fittings & fixtures are in tact & working, including the security measures such as door locks, bars on the windows etc.",0.366666667,-0.296,0
555,LBs,Living Blocks,,,0,0,0
556,LCJ,Lord Chief Justice,,Head of the judiciary in England and Wales,0,0,0
557,LCJB,Local Criminal Justice Board,,,0,0,0
558,LDD,Learning Difficulties and Disabilities,,,0,0,0
559,LDD,Local Delivery Directory,,Delivery of PSAs,0,0,0
560,LDU,Local Delivery Unit,,,0,0,0
561,LED,Licence Expiry Date,,,0,0,0
562,LEDS,Law Enforcement Data Service,,,0,0,0
564,LGBT,"Lesbian, Gay, Bi-sexual & Transgender (network)",,,0,0,0
565,LGFS,Litigators Graduated Fees Scheme,,Fee scheme available to Solicitors who work on Crown Court cases,0.4,0,0
566,LIAP,Low Intensity Alcohol Programme,,Substance Misuse Programme (no longer running).,0,0,0
568,Libra,Database co-ordinated by Magistrates Courts,,,0,0,0
570,LiP,Litigant in Person,,An individual representing themselves at court without legal representation,0.3,-0.0951,0
571,LiPs,Litigants in Persons,,People at court without a professional representative.,0.1,0,0
573,LNM,Living as New Me,,Sex Offender Treatment Programme,0,-0.3612,0
574,LOs,Lay Observers,,Court staff who oversee the running of the courts to ensure processes are being followed correctly,0,0.3818,0
576,LPP,Local People Plan,,People's Strategy,0,0,0
578,LPT,London Probation Trust,,,0,0,0
580,LR,Licence Revoke,,,0,0,0
584,LSC,Learning & Skills Council,,Replaced by Skills Funding Agency,0,0,0
585,LSCB,Local Safeguarding Children Board,,,0,0,0
586,LSF,Local Security Framework,,,0,0,0
587,LTD,Late Transfer Date for a Detention Training Order,,,0,0,0
589,MAAT,Means Assessment Administration Tool,,Web app used by caseworkers to process legal aid applications for criminal cases.,0.375,-0.4404,0
591,MALRAP,Multi Agency Lifer Risk Assessment Panel,,,0,0,0
592,MAPPA,Multi-Agency Public Protection Arrangements,,,0,0,0
593,MAPPP,Multi-Agency Public Protection Prisoner,,,0,0,0
598,MCA,Mental Capacity Act,,,0,0,0
599,MCOL,Money Claim Online,,"Online service to ""take court action against someone if they owe you money and won’t pay you back"".",0.05,-0.1027,0
600,MCQ,Minor Change Quotation,,Related to tender documents.,0.4,0,0
601,MDO,Mentally Disordered Offender,,,0,0,0
602,MDS,Minimum Data Set,,,0,0,0
604,MFA,Multi-Factor Authentication,,,0,0,0
606,MHA1983,Mental Health Act 1983,,,0,0,0
607,MI,Management Information,,Data or statistics collected and used to measure performance in a business,0,0,0
608,Microlise,GPS System allowing real-time vehicle tracking,,,0,0,0
611,MIS,Management Information System,,,0,0,0
612,MITM,Man In The Middle,,,0,0,0
614,MODs,Models for Operational Delivery,,,0,0,0
615,MOiC,Managing Offenders in Custody,,,0,0,0
620,MOU,Memorandum Of Understanding,,,0,0,0
622,MPS,Moving People Safely,,,0,0,0
624,MPSI,"Ministers, Parliament, Strategy and implementation",,,0,0,0
625,MQPL,Measuring the Quality of Prisoner Life,,,0,0,0
626,MSV,Most Serious Violence,,,0,0,0
627,MTD,Mid Transfer Date,,,0,0,0
